城市,名称,链接,户型,面积,朝向,楼层,装修,小区,区域,总价,单价,建成时间,发布时间,关注,其他信息
上海,人车分流、电梯中区、自带会所、全明户型、品质小区,https://sh.lianjia.com/ershoufang/107107518582.html,3室2厅,143.46平米,南,低楼层(共24层),精装,大宁瑞仕花园,大宁, 1700万,"118,500元/平",2013年建,8天以前发布,24人关注,板楼、VR看装修、房本满五年
上海,总校+一手动迁、满五、税费少、业主诚意出售,https://sh.lianjia.com/ershoufang/107107444561.html,2室1厅,67.86平米,南,中楼层(共16层),简装,大宁龙盛雅苑,大宁, 698万,"102,859元/平",2012年建,18天以前发布,3人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,《大宁后花园》《金三银四》《上车好房》《值得拥有》,https://sh.lianjia.com/ershoufang/107107384790.html,1室1厅,32.22平米,南,中楼层(共6层),精装,四方小区,大宁, 205万,"63,626元/平",1976年建,27天以前发布,6人关注,板楼、近地铁、VR房源、房本满五年、随时看房
上海,小区w一已加装电梯，大宁公园距离近，闹中取静采光佳,https://sh.lianjia.com/ershoufang/107106672136.html,2室2厅,91.22平米,南,6层,精装,芳沁苑,大宁, 755万,"82,767元/平",2000年建,4个月以前发布,33人关注,板楼、VR房源、房本满五年、随时看房
上海,大宁品质标杆，纵享C位景观，电梯小高层，一梯三户,https://sh.lianjia.com/ershoufang/107106714528.html,3室2厅,116.68平米,南 北 东,中楼层(共14层),简装,惠龙公寓,大宁, 1028万,"88,105元/平",2000年建,3个月以前发布,29人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,全明户型，楼层佳，税费少，采光好,https://sh.lianjia.com/ershoufang/107107114573.html,2室2厅,84.76平米,南 北,6层,简装,永乐苑,大宁, 750万,"88,486元/平",1998年建,2个月以前发布,11人关注,板楼、VR看装修、房本满五年
上海,各付税费 全明无遮挡，功能三房，人车分流，金茂物业,https://sh.lianjia.com/ershoufang/107106866577.html,3室2厅,88.93平米,南,高楼层(共33层),简装,明园森林都市涵翠苑,大宁, 1050万,"118,071元/平",2013年建,3个月以前发布,33人关注,塔楼、VR看装修、房本满五年
上海,单价7.5万即可拥有静安大宁精装板楼南北通3房2卫,https://sh.lianjia.com/ershoufang/107107031965.html,3室2厅,106.33平米,南 北,低楼层(共24层),精装,明园森林都市滴翠苑,大宁, 849万,"79,846元/平",2007年建,2个月以前发布,157人关注,板楼、VR看装修、房本满五年
上海,区总力荐＋产权清晰＋诚意急售＋低刚需上车闸实一梯,https://sh.lianjia.com/ershoufang/107106597556.html,2室1厅,97.34平米,南,低楼层(共16层),精装,歌林春天馨园,大宁, 860万,"88,351元/平",2004年建,4个月以前发布,42人关注,板楼、VR看装修、房本满五年
上海,精装修，户型好，小区景观房，正对四方公园。,https://sh.lianjia.com/ershoufang/107107318122.html,2室1厅,91.45平米,南,中楼层(共34层),精装,明园森林都市滴翠苑,大宁, 850万,"92,947元/平",2007年建,1个月以前发布,15人关注,板楼、VR看装修、房本满五年
上海,炒值板楼高区，景观位置，高区南北通透全明大三房，急,https://sh.lianjia.com/ershoufang/107105741863.html,3室2厅,126.03平米,南 北,高楼层(共24层),精装,明园森林都市滴翠苑,大宁, 1200万,"95,216元/平",2007年建,10个月以前发布,59人关注,板楼、VR看装修、房本满五年
上海,宝华南北通双阳台 中高区楼层 厨卫全明户型 视野开阔,https://sh.lianjia.com/ershoufang/107107312314.html,3室2厅,139.79平米,南 北,中楼层(共26层),精装,宝华现代城,大宁, 1760万,"125,904元/平",2008年建,1个月以前发布,19人关注,板楼、近地铁、VR看装修、房本满五年
上海,地铁轻奢三房+华润品质+静安府位置佳+装修温馨,https://sh.lianjia.com/ershoufang/107107132209.html,3室2厅,93.8平米,南,低楼层(共33层) ,精装,静安府东区,大宁, 1130万,"120,470元/平",,2个月以前发布,37人关注,板楼、近地铁、VR看装修、房本满两年
上海,店长力荐！大宁板块品质三房，飞机户型，配套完善,https://sh.lianjia.com/ershoufang/107106996325.html,3室2厅,132.39平米,南 北 西,低楼层(共14层),精装,惠龙公寓,大宁, 1090万,"82,333元/平",2000年建,2个月以前发布,19人关注,板楼、近地铁、VR看装修、房本满五年
上海,25万精装修 少有的全南小两房 低总价  付款好价格可谈,https://sh.lianjia.com/ershoufang/107107241591.html,2室2厅,67.14平米,南,中楼层(共28层),精装,粤秀名邸,大宁, 499万,"74,323元/平",2014年建,1个月以前发布,60人关注,板楼、VR看装修、房本满两年
上海,低总价少税中楼层全明两房户型灵活得房率和利用率高,https://sh.lianjia.com/ershoufang/107105968353.html,2室1厅,53.63平米,南 北,中楼层(共6层),简装,柳营路1025弄,大宁, 365万,"68,059元/平",1987年建,8个月以前发布,46人关注,板楼、VR看装修、房本满五年、随时看房
上海,产权满五年，经典一室2厅，现改2房，高区楼层，2梯3户,https://sh.lianjia.com/ershoufang/107107000954.html,1室2厅,63.33平米,南,中楼层(共28层),精装,宝华现代城,大宁, 700万,"110,533元/平",2008年建,2个月以前发布,30人关注,板楼、近地铁、VR房源、房本满五年
