城市,板块,名称,链接,户型,面积,朝向,楼层,装修,小区,区域,总价,单价,建成时间,发布时间,关注,其他信息
上海,虹口,11年次新房1T1H带电梯厅 3房朝南厅南北通带阳台看花园,https://sh.lianjia.com/ershoufang/107107443682.html,3室2厅,156.88平米,南 北,中楼层(共16层),简装,溧阳华府,鲁迅公园, 1686万,"107,471元/平",2011年建,24天以前发布,34人关注,板楼、近地铁、VR房源、房本满五年、随时看房
上海,虹口,俯瞰溧阳路老洋房，07年花园式社区，近海伦路双轨交汇,https://sh.lianjia.com/ershoufang/107107175385.html,2室2厅,99.33平米,南,低楼层(共21层),精装,溧阳华府,鲁迅公园, 985万,"99,165元/平",2007年建,1个月以前发布,34人关注,板楼、近地铁、VR看装修、随时看房
上海,虹口,3+8号线虹足听演唱会  内环边6.6万单价    鲁迅公园,https://sh.lianjia.com/ershoufang/107107239308.html,1室1厅,34.04平米,南,高楼层(共6层),简装,何家宅小区,鲁迅公园, 225万,"66,099元/平",1990年建,1个月以前发布,15人关注,板楼、近地铁、VR看装修、房本满两年
上海,虹口,内环边+3/8号线双轨+中楼层+朝南一门关+满五税费少,https://sh.lianjia.com/ershoufang/107107376215.html,1室0厅,36.25平米,南,中楼层(共6层),简装,何家宅小区,鲁迅公园, 230万,"63,449元/平",1990年建,1个月以前发布,11人关注,板楼、近地铁、VR看装修、房本满五年
上海,虹口,中楼层实惠全明两房 配套齐全采光好满五,https://sh.lianjia.com/ershoufang/107107175621.html,2室1厅,52.63平米,南,中楼层(共7层),简装,东宝兴路835弄,鲁迅公园, 350万,"66,502元/平",1980年建,1个月以前发布,26人关注,板楼、近地铁、VR看装修、随时看房
上海,虹口,两梯两户，中高区，7.5米连体大阳台，居住体验感拉满,https://sh.lianjia.com/ershoufang/107107121164.html,3室2厅,139.55平米,南 北,中楼层(共15层),精装,欧阳名邸,鲁迅公园, 1330万,"95,307元/平",2003年建,2个月以前发布,43人关注,板楼、近地铁、房本满五年
上海,虹口,市区复式大露台+38虹口足球鲁迅公园+户型方正配套齐全,https://sh.lianjia.com/ershoufang/107107567294.html,4室2厅,146.97平米,南,高楼层(共6层),简装,嘉苑公寓,鲁迅公园, 898万,"61,101元/平",1996年建,7天以前发布,6人关注,板楼、近地铁、VR房源、房本满五年、随时看房
上海,虹口,此房满W，全明户型，南北通透，小区很少出来得户型,https://sh.lianjia.com/ershoufang/107107578609.html,2室1厅,63.49平米,南 北,高楼层(共7层),精装,何家宅小区,鲁迅公园, 398万,"62,688元/平",1993年建,6天以前发布,3人关注,板楼、近地铁、VR看装修、房本满五年
上海,虹口,低总价高三房+新房龄三房+电梯高区+精装修,https://sh.lianjia.com/ershoufang/107107029243.html,3室2厅,137.56平米,南,中楼层(共28层),精装,吉联大厦,鲁迅公园, 890万,"64,700元/平",2006年建,2个月以前发布,35人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,虹口,向南精装，边套全明，视野好，电梯征询全员过,https://sh.lianjia.com/ershoufang/107107545344.html,2室0厅,43.6平米,南,高楼层(共6层),精装,祥德路143弄,鲁迅公园, 310万,"71,101元/平",1991年建,10天以前发布,3人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,虹口,南北两房、居家装修、花园位置、双轨交站、钥匙房,https://sh.lianjia.com/ershoufang/107107535538.html,2室0厅,44.5平米,南,高楼层(共6层),精装,何家宅小区,鲁迅公园, 315万,"70,787元/平",1987年建,12天以前发布,4人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,虹口,电梯房，全明户型，近地铁，近公园，满5v一，三轨交汇,https://sh.lianjia.com/ershoufang/107107543852.html,3室2厅,105.63平米,南,中楼层(共26层),简装,华能公寓,鲁迅公园, 780万,"73,843元/平",1997年建,11天以前发布,2人关注,塔楼、近地铁、VR房源、房本满五年
上海,虹口,《业主移民急售》+地铁双线交汇+鲁迅公园+虹口龙之梦,https://sh.lianjia.com/ershoufang/107107590147.html,2室0厅,50.46平米,南,中楼层(共7层),简装,中山北一路140弄,鲁迅公园, 350万,"69,362元/平",1984年建,4天以前发布,1人关注,板楼、近地铁、VR看装修、房本满五年
上海,虹口,新上：产权车位+2010年园林式小区，高区全南采光好,https://sh.lianjia.com/ershoufang/107107519843.html,2室2厅,99.96平米,南,高楼层(共23层),精装,世博花园,鲁迅公园, 1150万,"115,047元/平",2010年建,14天以前发布,7人关注,板楼、VR房源、房本满五年
上海,虹口,南北通大三房，带大阳光房，出行方便,https://sh.lianjia.com/ershoufang/107107445306.html,3室2厅,153.95平米,南 北,低楼层(共35层),简装,溧阳华府,鲁迅公园, 1398万,"90,809元/平",2011年建,24天以前发布,13人关注,板楼、近地铁、VR房源、房本满两年
上海,虹口,版式南北通三房，08年品质小区，带租赁车位 单价8.9万,https://sh.lianjia.com/ershoufang/107105554612.html,3室2厅,134.57平米,南,低楼层(共28层),精装,安业公寓,鲁迅公园, 1210万,"89,917元/平",2008年建,11个月以前发布,28人关注,板楼、近地铁、VR房源、房本满五年
上海,虹口,业主诚意出售，好楼层1室户，看房方便,https://sh.lianjia.com/ershoufang/107107551964.html,1室0厅,33.8平米,南,中楼层(共6层),毛坯,横浜路323号,鲁迅公园, 251万,"74,261元/平",1985年建,9天以前发布,1人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,虹口,内环内电梯三房两卫，边套全明，朝西看公园，天然氧吧,https://sh.lianjia.com/ershoufang/107106658681.html,3室2厅,129.61平米,西 西北,低楼层(共20层),简装,甜爱大楼,鲁迅公园, 798万,"61,570元/平",1998年建,4个月以前发布,36人关注,塔楼、近地铁、VR看装修、房本满五年、随时看房
上海,虹口,瑞虹商圈+10号线地铁口+品质小区+全明户型+虹口世外,https://sh.lianjia.com/ershoufang/107106915126.html,3室2厅,140.29平米,南,高楼层(共11层),简装,世博花园,鲁迅公园, 1598万,"113,907元/平",2004年建,3个月以前发布,15人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,虹口,内环内电梯大三房，双南朝南，采光视野好，业主急售,https://sh.lianjia.com/ershoufang/107106544376.html,3室2厅,133.43平米,南,低楼层(共24层),简装,中原证券大厦,鲁迅公园, 720万,"53,961元/平",1996年建,4个月以前发布,42人关注,塔楼、近地铁、VR看装修、房本满五年、随时看房
上海,虹口,楼栋靠内  安静不吵，近鲁迅公园，出行便利满五唯--,https://sh.lianjia.com/ershoufang/107105784346.html,2室0厅,49.88平米,南,高楼层(共6层),简装,欧九小区,鲁迅公园, 369万,"73,978元/平",1985年建,10个月以前发布,23人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,虹口,此房满五年，高楼层，使用面积大 单价低，采光无遮挡,https://sh.lianjia.com/ershoufang/107106601019.html,2室0厅,50.5平米,东北 西南,高楼层(共7层),精装,何家宅小区,鲁迅公园, 298万,"59,010元/平",1993年建,4个月以前发布,23人关注,板楼、近地铁、VR房源、房本满五年、随时看房
上海,虹口,房子满五年，双轨交通，视野开阔，带车位，品质小区,https://sh.lianjia.com/ershoufang/107106639750.html,3室2厅,154.7平米,南,中楼层(共22层),精装,溧阳华府,鲁迅公园, 1798万,"116,225元/平",2011年建,4个月以前发布,14人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,虹口,售后公房 内环内+足球场双地铁交汇+面宽6米多大横厅,https://sh.lianjia.com/ershoufang/107106383552.html,3室2厅,117.52平米,南,中楼层(共7层),简装,华星公寓,鲁迅公园, 880万,"74,881元/平",1997年建,5个月以前发布,41人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,虹口,内环内电梯大三房，采光好通风好，4号线海伦路,https://sh.lianjia.com/ershoufang/107106855999.html,3室2厅,120.06平米,东北,中楼层(共24层),毛坯,恒城花苑,鲁迅公园, 998万,"83,126元/平",1997年建,3个月以前发布,15人关注,塔楼、近地铁、VR看装修、房本满五年、随时看房
