城市,板块,名称,链接,户型,面积,朝向,楼层,装修,小区,区域,总价,单价,建成时间,发布时间,关注,其他信息
上海,静安,小区位置好 ，电梯中间楼层，得房率高，诚心出售。,https://sh.lianjia.com/ershoufang/107107548575.html,3室2厅,115.78平米,南 北,中楼层(共14层),精装,新梅共和城,大宁, 1180万,"101,918元/平",2004年建,10天以前发布,10人关注,板楼、近地铁、VR房源、房本满五年
上海,静安,人车分流、电梯中区、自带会所、全明户型、品质小区,https://sh.lianjia.com/ershoufang/107107518582.html,3室2厅,143.46平米,南,低楼层(共24层),精装,大宁瑞仕花园,大宁, 1700万,"118,500元/平",2013年建,14天以前发布,28人关注,板楼、VR看装修、房本满五年
上海,静安,总校资格+满五ONLY一+免征增值税+近地铁,https://sh.lianjia.com/ershoufang/107107571640.html,1室1厅,45.84平米,南,低楼层(共6层),简装,大宁路660弄,大宁, 368万,"80,280元/平",1992年建,7天以前发布,4人关注,板楼、近地铁、VR看装修、房本满五年
上海,静安,电梯高区，边套全明，有钥匙，随时看，免增值税，急售,https://sh.lianjia.com/ershoufang/107107153134.html,2室2厅,84.76平米,南,高楼层(共28层),毛坯,粤秀名邸,大宁, 580万,"68,429元/平",2014年建,2个月以前发布,31人关注,板楼、VR看装修、房本满五年、随时看房
上海,静安,新上飞机户型+逾88%得房率+非顶楼采光好+随时可看房,https://sh.lianjia.com/ershoufang/107107297856.html,3室2厅,113.96平米,南 北,高楼层(共6层),精装,歌林春天馨园,大宁, 1080万,"94,771元/平",2003年建,1个月以前发布,44人关注,板楼、VR看装修、房本满五年、随时看房
上海,静安,低密电梯小洋房，献给懂生活的您，精装修纯商品房小区,https://sh.lianjia.com/ershoufang/107107361107.html,3室2厅,100.02平米,南,中楼层(共7层),精装,世纪花苑,大宁, 788万,"78,785元/平",1999年建,1个月以前发布,18人关注,板楼、VR看装修、房本满两年、随时看房
上海,静安,高区楼层+采光视野很棒+小区全人车分流+有产权车位,https://sh.lianjia.com/ershoufang/107106528833.html,3室2厅,143.54平米,南 北,高楼层(共23层),精装,大宁瑞仕花园,大宁, 1795万,"125,053元/平",2013年建,4个月以前发布,31人关注,板楼、VR看装修、房本满五年、随时看房
上海,静安,新上精装满五年小三房、大金空调、地暖、新风、采光好,https://sh.lianjia.com/ershoufang/107106949536.html,3室2厅,93.13平米,南,低楼层(共33层),精装,上海滩大宁城(公寓),大宁, 988万,"106,089元/平",2011年建,3个月以前发布,36人关注,板楼、VR房源、房本满两年
上海,静安,总校+次新+电梯房中区+近地铁,https://sh.lianjia.com/ershoufang/107107275433.html,1室1厅,48.3平米,南,中楼层(共21层),精装,大宁龙盛雅苑,大宁, 483万,"100,000元/平",2012年建,1个月以前发布,7人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,静安,精装修，电梯房，中间楼层，双朝南，业主诚意,https://sh.lianjia.com/ershoufang/107107482191.html,2室1厅,56.68平米,南,中楼层(共6层),精装,老沪太路250弄,大宁, 435万,"76,747元/平",1985年建,19天以前发布,7人关注,板楼、近地铁、VR看装修、房本满五年
上海,静安,电梯小高层，户型好，楼层好，确定不点开看看吗,https://sh.lianjia.com/ershoufang/107106937559.html,3室2厅,143.48平米,南,中楼层(共8层),精装,佳宁花园,大宁, 1290万,"89,909元/平",2002年建,3个月以前发布,23人关注,板楼、VR看装修、房本满五年
上海,静安,25万精装修 少有的全南小两房 低总价  付款好价格可谈,https://sh.lianjia.com/ershoufang/107107241591.html,2室2厅,67.14平米,南,中楼层(共28层),精装,粤秀名邸,大宁, 499万,"74,323元/平",2014年建,1个月以前发布,76人关注,板楼、VR看装修、房本满两年
上海,静安,地铁轻奢三房+华润品质+静安府位置佳+装修温馨,https://sh.lianjia.com/ershoufang/107107132209.html,3室2厅,93.8平米,南,低楼层(共33层) ,精装,静安府东区,大宁, 1130万,"120,470元/平",,2个月以前发布,46人关注,板楼、近地铁、VR看装修、房本满两年
上海,静安,精装修，户型好，小区景观房，正对四方公园。,https://sh.lianjia.com/ershoufang/107107318122.html,2室1厅,91.45平米,南,中楼层(共34层),精装,明园森林都市滴翠苑,大宁, 850万,"92,947元/平",2007年建,1个月以前发布,33人关注,板楼、VR看装修、房本满五年
上海,静安,诚售+上海滩南北通3房+精装修+小区第2排+不要错过,https://sh.lianjia.com/ershoufang/107106782977.html,3室2厅,95.97平米,南 北,中楼层(共33层),精装,上海滩大宁城(公寓),大宁, 1110万,"115,662元/平",2011年建,3个月以前发布,36人关注,板楼、VR看装修、房本满两年
