城市,板块,名称,链接,户型,面积,朝向,楼层,装修,小区,区域,总价,单价,建成时间,发布时间,关注,其他信息
上海,黄浦,翠湖3期急售大2房  马上来抢,https://sh.lianjia.com/ershoufang/107105244914.html,2室2厅,128.34平米,西南,中楼层(共19层),精装,翠湖天地嘉苑,新天地, 2899万,"225,885元/平",2009年建,一年前发布,18人关注,板楼、近地铁、VR看装修、房本满五年
上海,黄浦,满五年采光好，拎包住，业主诚意出售，新式里弄，,https://sh.lianjia.com/ershoufang/107106021031.html,2室2厅,96.41平米,东 西,高楼层(共5层),简装,巴黎公寓,新天地, 1100万,"114,097元/平",1984年建,8个月以前发布,13人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,黄浦,少有大四房在售+高区边套全明+俯瞰新天地、淮海公园,https://sh.lianjia.com/ershoufang/107106922765.html,4室2厅,294.98平米,南,高楼层(共31层),精装,淮海晶华苑,新天地, 5500万,"186,454元/平",2006年建,3个月以前发布,8人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,黄浦,楼层佳视野好，二次装修带地暖，股权转让,https://sh.lianjia.com/ershoufang/107106348374.html,3室2厅,186.75平米,南,中楼层(共32层),精装,翠湖天地御苑,新天地, 4350万,"232,932元/平",2006年建,5个月以前发布,38人关注,板楼、近地铁、VR看装修、房本满五年
上海,黄浦,锦麟壹号楼边套户型、正看太平湖新天！二次精装修，值,https://sh.lianjia.com/ershoufang/107104869571.html,3室2厅,277.28平米,南 北,中楼层(共29层),精装,锦麟天地雅苑,新天地, 7350万,"265,076元/平",2005年建,一年前发布,24人关注,板楼、近地铁、VR房源、房本满五年
上海,黄浦,翠湖前排湖景大平层，有钥匙，随时看房，满五年有车位,https://sh.lianjia.com/ershoufang/107106501589.html,4室2厅,281.56平米,南,低楼层(共30层),精装,翠湖天地御苑,新天地, 7800万,"277,028元/平",2006年建,5个月以前发布,17人关注,板楼、近地铁、VR看装修、房本满五年
上海,黄浦,新天地淮海路低调社区 全套实木家具 附带保姆间 诚售,https://sh.lianjia.com/ershoufang/107106320930.html,2室2厅,170.11平米,南 北,中楼层(共31层),精装,淮海晶华苑,新天地, 2600万,"152,843元/平",2006年建,6个月以前发布,14人关注,板楼、近地铁、VR看装修、房本满五年
上海,黄浦,新天地整栋新式里弄、思南公馆隔壁、总高4F的联排别墅,https://sh.lianjia.com/ershoufang/107106767663.html,5室2厅,193.23平米,南,1层,精装,万宜坊,新天地, 3850万,"199,245元/平",1936年建,3个月以前发布,8人关注,板楼、近地铁、VR房源、房本满五年
上海,黄浦,前排临太平湖、复式四房，私密性好,https://sh.lianjia.com/ershoufang/107106102108.html,4室2厅,324.39平米,南,低楼层(共9层),精装,翠湖天地御苑,新天地, 7000万,"215,790元/平",2006年建,8个月以前发布,30人关注,板楼、近地铁、VR房源、房本满两年
上海,黄浦,西边套南北通 视野景观好 全明高区三房,https://sh.lianjia.com/ershoufang/107106820046.html,3室2厅,153.42平米,南,29层,精装,淡水湾花园,新天地, 2900万,"189,024元/平",2007年建,3个月以前发布,17人关注,板楼、VR看装修、房本满五年
上海,黄浦,御苑高区前排 / 正看湖景 / 翠湖较少的户型,https://sh.lianjia.com/ershoufang/107105911606.html,4室2厅,322.17平米,南 北,中楼层(共14层),精装,翠湖天地御苑,新天地, 8500万,"263,836元/平",2006年建,9个月以前发布,24人关注,板楼、近地铁、VR房源、房本满五年
上海,黄浦,翠湖御苑全明3房此房满5惟一 买进价高 全御苑单总价樶,https://sh.lianjia.com/ershoufang/107104609804.html,3室2厅,193.56平米,南,低楼层(共28层),精装,翠湖天地御苑,新天地, 4130万,"213,371元/平",2006年建,一年前发布,37人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,黄浦,全明户型两房，满五年，新天地商圈交通方便，配套成熟,https://sh.lianjia.com/ershoufang/107105260867.html,2室2厅,110平米,南,32层,精装,复兴苑,新天地, 1180万,"107,273元/平",1998年建,一年前发布,74人关注,板塔结合、近地铁、VR房源、房本满五年、随时看房
上海,黄浦,此房满五年，业主19年花费150万精装修，小区中间位置,https://sh.lianjia.com/ershoufang/107107171424.html,3室2厅,138.35平米,南 北,29层,精装,淡水湾花园,新天地, 2680万,"193,712元/平",2007年建,2个月以前发布,13人关注,板楼、VR房源、房本满五年、随时看房
上海,黄浦,新天地铂金地段+高区看陆家嘴+边套全明四房,https://sh.lianjia.com/ershoufang/107106934656.html,4室2厅,197.52平米,南,32层,精装,淡水湾花园,新天地, 3600万,"182,261元/平",2008年建,3个月以前发布,25人关注,板楼、VR看装修、房本满五年、随时看房
上海,黄浦,有钥匙、出门是淮海中路/新天地/淮海公园、满五年一套,https://sh.lianjia.com/ershoufang/107105370793.html,3室2厅,222.86平米,南,低楼层(共28层),精装,淮海晶华苑,新天地, 3200万,"143,588元/平",2006年建,一年前发布,18人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,黄浦,建德坊少见的两房 南北通透 新天地,https://sh.lianjia.com/ershoufang/107105042913.html,2室2厅,67.37平米,南 北,低楼层(共6层),简装,建德坊,新天地, 1199万,"177,973元/平",2002年建,一年前发布,12人关注,板楼、近地铁、VR看装修、房本满两年、随时看房
